artist_name,track_name,track_id,popularity
Smooth Dinner Jazz,Mysterious Ambience for 2021,7JbCtHITcxozCi7ToiRl9O,24
Young Stoner Life,Solid (feat. Drake),6rTInqW3YECMkQsBEHw4sd,85
DJ CLINGO SLIDE,Rubish,0u7vHkZJtxjSP65kf0yZOA,22
Cardi B,Up,1XXimziG1uhM0eDNCZCrUl,87
KOAN Sound,Max Out - 2021 Remaster,0D4QsjlrsW95BVQuKDk9Nb,24
Lil Tjay,Calling My Phone,3J8EOeKLTLXORtWPpOU5bE,88
Pat MV,2021’s Our Year,7pTHcxxysb40K46vleyFZa,34
24kGoldn,Mood (feat. iann dior),4jPy3l0RUwlUI9T5XHBW2m,91
KOAN Sound,Mr Brown - 2021 Remaster,4lAohj2eZlfaorBypduwUp,23
DJ Khaled,EVERY CHANCE I GET (feat. Lil Baby & Lil Durk),1EJIcDYXwSqipW5dFe4uJz,84
KOAN Sound,One Hand Clap - 2021 Remaster,2PAz7SyA7qbCuupnYgs11G,21
Lil Tecca,Never Left,21UkXrc9kD48rNpTMI2ecz,85
Van Der Graaf Generator,Pilgrims - New Stereo Mix 2021,172tmA2DedbtFEwnGfVTky,0
Roddy Ricch,Late At Night,1fxYz1s15pyZLsJT0Hdh1m,86
Van Der Graaf Generator,Killer - New Stereo Mix 2021,7bmg0UtzqGoNa0jeO1CJnV,0
Billie Eilish,Lost Cause,2xdwCJLfKCkat14mlgR26M,89
Van Der Graaf Generator,"Refugees - 7"" Single Version / Remastered 2021",3IaBIrsJtHFNDxRZ7g7pXR,0
Travis Scott,Goosebumps - Remix,5uEYRdEIh9Bo4fpjDd4Na9,90
Rex Montex,It Was 40 Years Ago,6WhvJm0YQjQoZbdDya3fDv,0
Marshmello,Leave Before You Love Me (with Jonas Brothers),4qu63nuBpdn0qHUHuObEj1,88
Crucial Dudes,"Boom, Roasted (2021 Remaster)",2QRua8VZhbsHs5rPqXUxL6,13
J. Cole,a m a r i,2cnKST6T9qUo2i907lm8zX,85
Christina Perri,A Thousand Years,4TcnMCz0d27SsDNihYqFxW,20
Lil Tjay,Headshot (feat. Polo G & Fivio Foreign),4eNOLmx8r2IJAVKvBBL1jv,84
Van Der Graaf Generator,Killer - New Stereo Mix 2021,2BkyUNZ3FzHvNyv3IzANiE,27
Doja Cat,You Right,0k4d5YPDr1r7FX77VdqWez,85
Oceanic,Year in the Sun,7wrV2RVos1qyLDZxhAS2qk,23
Joyner Lucas,Ramen & OJ,4TIqzdAssasqx3DAe6cG9J,84
Crucial Dudes,Doubt (2021 Remaster),2jR8DJ2Fw4zajCym6cjiik,12
Migos,Having Our Way (feat. Drake),2NM0qHzx4Ohy8iXHEEgwlO,84
Last Year's Man,Still Be Here,2vpdhASV8jwmFCCGyl0wat,25
Doja Cat,Need To Know,10hcDov7xmcRviA8jLwEaI,86
DJ CLINGO SLIDE,Clay Man,0KCTON98BXLtkScCe5rjH3,13
Drake,What’s Next,3aQem4jVGdhtg116TmJnHz,84
Years & Years,Breathe,1YqRxaBc1qOC0a82ZcPz0q,18
Billie Eilish,Your Power,5qNh5WtzMbfpSj2jLlBkoD,89
Yello,Blender - Re-Touched 2021,5TCngtrmHsNnoqnkfx4NnM,28
"Tyler, The Creator",JUGGERNAUT (feat. Lil Uzi Vert & Pharrell Williams),7z4xW9WY86uH3gd1V9pfCM,82
Crucial Dudes,61 Penn (2021 Remaster),38p68a1uPsCjLp0t4nJ4HC,10
"Tyler, The Creator",LEMONHEAD (feat. 42 Dugg),5fbHRCsGpFIOLRtlhCRFDR,82
Years & Years,Breathe,71v09OflvBMGwSrSnOkyxq,17
Lorde,Solar Power,3KdoeNlEN0BoAKWzaRLNZa,87
Crucial Dudes,Through Being Crucial (2021 Remaster),1jwmYI1kdJGRfbwrHP8eqh,11
Surf Curse,Freaks,7EkWXAI1wn8Ii883ecd9xr,87
Johann Strauss II,"Neue Melodien-Quadrille, Op. 254",4uaWclMPHnWjm9YVGytlAS,25
Doja Cat,Ain't Shit,5lAnYvAIkSDNXqfo7DyFUm,81
Crucial Dudes,"Mt. Chill, You're Climbin' (2021 Remaster)",7zXnceW3kadhsi095get1f,11
DaBaby,Ball If I Want To,0cu0rhnlCnJ7JIeHRiLpj3,80
Crucial Dudes,Contour (2021 Remaster),3LglxOQujArGqNayVJfQxd,10
Moneybagg Yo,Wockesha,0nqhKXDjsyBMvbeWmgijD0,82
Crucial Dudes,"Small, Bent and Ugly (2021 Remaster)",5uFXoQPmuYVkwC8fgEt44Y,10
Lil Baby,Hats Off (feat. Travis Scott),4lUmnwRybYH7mMzf16xB0y,82
K120,"It's Christmas, You Are 13 Years Old and Happy",4viQSBJ8rdw7ix4lHUYMKp,17
"Tyler, The Creator",HOT WIND BLOWS (feat. Lil Wayne),3JJL91ilRV6fXhKqu0FGXs,81
DJ CLINGO SLIDE,Class Clown,6boq49pDPahzW87mWz0GOZ,11
Polo G,GANG GANG (with Lil Wayne),4VW44pawoOHPUjlN7DX5vk,82
DJ CLINGO SLIDE,Crazy Car,4PhvB1Oz0ZH05ogYSbFeKU,11
Olivia Rodrigo,"The Rose Song - From ""High School Musical: The Musical: The Series (Season 2)""",3qxzozdGFaBxQ0X4HkrMr0,76
Crucial Dudes,On Leaving (2021 Remaster),2kCQ6uef9ZZPttWLsoJqP9,9
Lil Tjay,Run It Up (feat. Offset & Moneybagg Yo),1dg3qy5DjoJodawfOCgrTP,83
Crucial Dudes,Mad Nice (2021 Remaster),0CxuwJN14HAmT719aiTq4G,10
"Tyler, The Creator",CORSO,46oHvXwpEZOFX518we1nJD,81
Funcc.,My Dear,4DwRpHZ8XeWkbXn1lFEvBK,17
"Tyler, The Creator",SWEET / I THOUGHT YOU WANTED TO DANCE (feat. Brent Faiyaz & Fana Hues),3EG9FJ0ToLfgnc1IG2Z1wz,80
DJ CLINGO SLIDE,Cowboy,2Pa2jZHk4VQsEThHp7Ido3,11
"Tyler, The Creator",SIR BAUDELAIRE (feat. DJ Drama),4ydmav4vl7hebadtfZtMrg,80
Crucial Dudes,Give 'Em The Howard (2021 Remaster),6K2Cn9xFxBipDdruwokCrN,10
"Tyler, The Creator",LUMBERJACK,0BiK5BbYNFLb88CCOxBFJe,80
Johann Strauss II,"Frühlingsstimmen, Walzer, Op. 410",5zZbXSRIFe1uWNmEM7f2XI,30
Polo G,No Return (with The Kid LAROI & Lil Durk),23OYT3SFtoJqhiAUqktbc1,83
Years & Years,Desire - Gryffin Remix,1xhkexZbRu77gyw6cMiGqn,14
Olivia Rodrigo,drivers license,0NrEE6I6GfXcR8KeBZEsyZ,0
Yello,Night Train - Re-Edited 2021,1PnJPZpUCBZx1x2Lw6JVm8,25
Olivia Rodrigo,drivers license,0TSXTxIhVWxA38Jby3xZam,0
Yello,Houdini - Re-Edited 2021,6tKD8SikTunrPyYloyNg6X,25
Olivia Rodrigo,drivers license,0s6io0eFd5Q4HeAQOoQ4Xk,0
Funcc.,i still remember toronto,5jNWFTEa6WYX04E5XRgSVt,15
Olivia Rodrigo,drivers license,1KXX5v2a88vva5J46I6MbF,10
Alesso,Years,2dx3YV0AhsygULQ2ojYVq0,40
Olivia Rodrigo,drivers license,2x4ZestWN3pdoExsVsgNal,2
Franz von Suppé,Fatinitza-Marsch,7v1zk76XQqz6F411INMEe3,23
Olivia Rodrigo,drivers license,35oNqplGalYFOcdamBPu7F,1
Peaceful Autumn Instrumental Jazz,Friendly New Years Resolutions,0L4TNsqjUesPdoz6HwY1s1,7
Olivia Rodrigo,drivers license,5hLF3A5acqU45MXZo1oMKr,0
Years & Years,Breathe,2GFwjSYUDVipOMB7IdzUtd,13
Olivia Rodrigo,drivers license,5u601iZjdWFOrO0OZ2ZymK,0
Garbela,Fith Year Celebration (2021 Remaster),0ByplozzntXq1baopBMcU1,10
Olivia Rodrigo,drivers license,6uh3DWrCVbsqGBQRzJjorK,0
Jazz Café Bar,Bright Jazz Piano Solo - Vibe for New Years Resolutions,5jLgl3LcMRW23gFRqqTqe8,13
"Tyler, The Creator",MASSA,2goHCrsDJaflEwQ930ef0o,79
Years & Years,If You're Over Me,3PvBYnxGQIFlywSYZ70nQ7,15
Internet Money,"His & Hers (feat. Don Toliver, Lil Uzi Vert & Gunna)",2IePEfMAtqWS6rLXXFZIgI,84
Warrel Dane,A Very Good Year (feat. Jonny Smokes) - unplugged & live version,03C6bvm7BMlg7XwagLsWmU,16
Dua Lipa,We're Good,1diS6nkxMQc3wwC4G1j0bh,87
Johann Strauss I,"Radetzky-Marsch, Op. 228",316AyasQmOic6W2zM8rYlw,21
"Tyler, The Creator",RUNITUP (feat. Teezo Touchdown),13HsOwrwTA5HgLuoaDHncP,79
Mysterious World Music,Tết: Vietnamese New Year Celebrations,13NWA8Q5Jhd2T0oAshsiqb,10
Doja Cat,I Don't Do Drugs (feat. Ariana Grande),0FFsgUoFibYISzMxuGS61W,80
Johann Strauss II,"Niko-Polka, Op. 228",4FWUPPBsg82IsojhIcAP0v,19
Bo Burnham,All Eyes On Me,3rV5y8rcQrwRt9fWGLmjOQ,82
"Karel Komzák, Jr.","Bad'ner Mad'ln, Walzer, Op. 257",1aDvlKtvTA8SJqBbGL7Nyw,18
Don Toliver,Drugs N Hella Melodies (feat. Kali Uchis),3Bi3ws3uigvFSmfTcSLjnp,81
Johann Strauss II,"Schallwellen, Walzer, Op. 148",5ZH6LpaSV0rmkr6RkLngqI,20
Young Stoner Life,Ski,6755DFiZ7CWe2WMdTGW5C1,81
Franz von Suppé,Dichter und Bauer: Ouvertüre,4vircrVSGNJsFavtLUF29K,19
StarBoi3,Dick (feat. Doja Cat),3nY8AqaMNNHHLYV4380ol0,87
Smooth Dinner Jazz,Spirited Ambiance for 2021,3ZvovH4vHG367zD4pwXa4p,6
Migos,Straightenin,3X2r2CnHOJeV5YekPTgBnK,82
Cafe BGM,Sultry Ambiance for 2021,5NR2UScCobzDg4zpbZYIel,12
Ed Sheeran,Bad Habits,6PQ88X9TkUIAUIZJHW2upE,89
Smooth Dinner Jazz,Friendly Backdrops for 2021,3pJjUciuQ7ArEEQ8fTGm2S,6
"Tyler, The Creator",MANIFESTO (feat. Domo Genesis),6qouBO0wJtYc3k7DfKRUBx,78
Funcc.,Somewhere,4oZOPr3QEHpJf1Vj6PngLm,13
Los Legendarios,Fiel,7Bk0uXKk1uPT0XuQbpFzvs,93
Michal Cielecki,The Golden Age,3PL0nJgLfgwNLMhyEQlL3D,16
Lil Nas X,SUN GOES DOWN,34eF4BoV8FPk0uhAAoqU7h,85
Johann Strauss II,"An der schönen blauen Donau, Walzer, Op. 314",7Lq7lV5MVDduhkRmqP9W4s,19
Ryan Hurd,Chasing After You (with Maren Morris),1ZIKpMTRPqhwAoVXWY3tXI,79
Carl Zeller,Grubenlichter-Walzer,7nWICHrOpq4mNelpzvfW8j,20
J. Cole,9 5 . s o u t h,5R691ipUYRDYW6ehapjoj6,81
Johann Strauss II,"Kaiserwalzer, Op. 437",4tV2GAiMdElyGG9Koz3sQd,19
J. Cole,i n t e r l u d e,08LwMWf5Tcfsd752EPzFV0,82
Workout Music ,Kings & Queens (Cardio + Running Workout Mix),5AismxfhycOrAUgsXlnGRm,15
Maroon 5,Beautiful Mistakes (feat. Megan Thee Stallion),5zFglKYiknIxks8geR8rcL,86
Workout Music ,Blinding Lights (Cardio + Running Workout Mix),1qo6ZFJzZ3fah2owpZltHS,12
Nicki Minaj,Seeing Green (with Drake & Lil Wayne),1TZv3bujNaYz646eezRE91,81
Funcc.,Another Life,1C9VpBEN2Jzmz2AH9NhnOA,12
"Tyler, The Creator",WILSHIRE,1pbbsI2KGPOMu0HmuGccBu,77
Josef Strauss,"Ohne Sorgen, Polka schnell, Op. 271",5Sc05HxzSAEKPSkwaXSmQ9,19
Bo Burnham,Welcome to the Internet,25AvaE23MXl06YRtQcQoJS,82
Carl Millöcker,In Saus und Braus,4c2QQx5DLH7jh4pO2DWZNW,18
DaBaby,Red Light Green Light,1YDebgap5OFwXEBG18NJvy,77
Klaus Doldinger,Tatort - 2021 Remastered,7mxj72bkFOtNlPKaBwRrB4,13
Justin Bieber,Hold On,4u4NyuceXP7Uzh7XFJKCr1,87
Van Der Graaf Generator,"Refugees - 7"" Single Version / Remastered 2021",5iv8aqV1uisBn7etB24Bov,12
"Tyler, The Creator",RISE! (feat. DAISY WORLD),4Hta7Oy5W9HD0UgT1P8PPV,77
Barock Project,Twenty Years,1AEWNXVXZzmjM3AMqwJ2Iu,12
Doja Cat,Woman,6Uj1ctrBOjOas8xZXGqKk4,77
Workout Music ,Bang! (Cardio + Running Workout Mix),5rEjKaIQZLrD58PNpCXou6,8
Doja Cat,Get Into It (Yuh),0W6I02J9xcqK8MtSeosEXb,76
Riccardo Muti,Neujahrsgruß / New Year's Address / Allocution du Nouvel An,55VqxXi21UxYikKbrMXv54,15
Dan + Shay,Glad You Exist,472vIK1ldetTxRxG3ovaiY,80
Johann Strauss II,"Furioso-Polka, Op. 260",1rPAhbzCFmEKI1CwWz8L30,16
OneRepublic,Run,2UbVnbE5FH6008mAm6Mmgw,89
Johann Strauss I,"Venetianer-Galopp, Op. 74",2JiapUhhbwvqJzA8WmNV4N,18
Morgan Wallen,Wasted On You,3cBsEDNhFI9E82vPj3kvi3,78
Josef Strauss,"Margherita-Polka, Op. 244",731HF4LtmtLXg5uBmrZU2R,17
"Tyler, The Creator",LUMBERJACK,64v1g2HcPumBz2Wd1rT56b,81
Johann Strauss II,"Im Krapfenwald'l, Polka française, Op. 336",20X3HiWyrMgsLMQYxdeWap,17
Doja Cat,Need To Know,3Vi5XqYrmQgOYBajMWSvCi,76
Ne-Yo,Let Me Love You (Until You Learn To Love Yourself),7wZuDbQw9JY9g5I9923Ohd,6
Riton,Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit,4cG7HUWYHBV6R6tHn1gxrl,94
Mysterious World Music,Beauty of the Lotus,1h7ZM2aWhaUBos7P0Fs0OJ,9
Doja Cat,Been Like This,7y3xU9vEC1s8DSuuoSYKih,75
Sicko!,2021 (Graduation Year),6JCEIGoAJdMthmvgBn3aNE,4
Doja Cat,Payday (feat. Young Thug),2HolBGR6tpiWI80MXoV1dJ,75
Khemarak Sereymun,Happy New Year 2021,2JVf5uijE9TGWatNeuTJD6,4
Doja Cat,Naked,0CsR9Y9SnC6ZWmekmVqSHz,75
Workout Music ,Positions (Cardio + Running Workout Mix),5bDJ6hZrlU3Ao8vKXTOqIq,8
DaBaby,Masterpiece,26UxwWl9xCb83OynXELJcL,79
Workout Music ,Savage Love (Cardio + Running Workout Mix),6kpeYM77vAAlw7dYY0g0Om,8
Doja Cat,Options (feat. JID),1ayV64ur8VWgc6OPtPRl1q,74
İstanbul Music Box,New Year Set 2021 - Live,7LfAAZglqU2E2L7GhGyc1u,7
"Tyler, The Creator",SAFARI,09xpQPfKWdio1wx6v17dGa,76
Titobeats,Happy New Year 2021 - Instrumental,05l9VYIDq7lYaAw6HxQBVl,2
Doja Cat,Love To Dream,6Q9IUoBTNLHgBib1FSFGbj,74
Animal Years,Talkin’ to You,6E9PnUSiYkcBFYBvQNsTTw,11
Galantis,Heartbreak Anthem (with David Guetta & Little Mix),5K6Ssv4Z3zRvxt0P6EKUAP,89
Funcc.,Best I Can Do,2A0rT5KgnVWJuFY455etSo,8
"Tyler, The Creator",BLESSED,2X5m6irq8boS50Efx4oWew,75
Funcc.,Etched,6QuOys0yAV9sQo1epby4sj,9
"Tyler, The Creator",MOMMA TALK,2HrRwAKgIzjTeuKoaj4akH,75
Kaotic Chemistry,Jupiter - 2021 Rebuild,0BryN3TZQSpsZnAo3VD40g,8
Moneybagg Yo,Time Today,0YrKSfpvflYnLSBd4Jtu6J,78
Johann Strauss II,"Stürmisch in Lieb' und Tanz, Polka schnell, Op. 393",3pFONpfEqLegAj6klDDQFM,17
Polo G,Black Hearted,25qk9xa71F1POdI4vj7rbi,80
Lady Gaga,Just Dance,3eMhCTIYsK4pVMWPEnDQ2D,9
Doja Cat,Imagine,5CC5krEgwJXuoA0F9scOFg,72
BigBankCarti,Snot Thot,3MZ6J3lqRpSKX5lmbSaQVn,3
Gera MX,Botella Tras Botella,2MnLkFqY9Rpg9s3Zv6ZJdK,91
Coffee Shop Jazz Relax,Jazz Piano Soundtrack for 2021,55eMKwKi9afI9eNDovuMPa,8
Doja Cat,Kiss Me More (feat. SZA),3DarAbFujv6eYNliUTyqtz,77
Coffee Shop Jazz Relax,Number One Ambience for 2021,61lYjBOuvruLRo6DTt6nvH,8
Calvin Harris,By Your Side (feat. Tom Grennan),0vR2rIVORmgeKiGIgNT0fV,86
SuSu Bobien,Pride!!! (King Tutt Remix 2021 Radio Pass),40kVPUIM3BgUfzy4dmhZHE,0
Doja Cat,Alone,45Nc6nYgV3yBvAeRaZt689,72
SuSu Bobien,Pride!!! (King Tutt Remix 2021 DJ Pass),6eLVfZjTPWjXHbOT7VEeM6,0
Bo Burnham,Look Who’s Inside Again,7d8dqy6GbiUqotcTSs0jXg,80
